"id","garbage_name","type"
"1","球衣","1"
"2","避孕套","2"
"3","矿泉水瓶","1"
"4","瓜子壳","3"
"5","花生壳","3"
"6","牛奶盒","1"
"7","电视","1"
"8","电脑","1"
"9","笔记本电脑","1"
"10","笔记本","1"
"11","冰箱","1"
"12","空调","1"
"13","风扇","1"
"17","荧光棒","2"
"19","棉签","2"
"20","牙签","2"
"21","西瓜皮","3"
"22","青瓜","3"
"23","黄瓜","3"
"25","风油精","4"
"26","A4纸","1"
"27","报纸","1"
"28","易拉罐","1"
"29","跑步鞋","1"
"30","毛衣","1"
"31","纸巾","2"
"32","湿纸巾","2"
"33","尿不湿","2"
"34","书包","1"
"35","鼠标","1"
"36","键盘","1"
"37","小龙虾","3"
"38","小龙虾壳","3"
"39","大闸蟹壳","3"
"40","大闸蟹","3"
"41","番薯","3"
"42","土豆","3"
"43","西红柿","3"
"44","鸡蛋","3"
"45","爆米花","3"
"46","蛋挞","3"
"47","轮胎","1"
"48","自行车","1"
"49","棉袄","1"
"50","T恤","1"
"51","短袖","1"
"52","长袖","1"
"53","衣服","1"
"54","鞋子","1"
"55","手机","1"
"56","手机壳","2"
"57","玻璃","1"
"73","口罩","2"
"85","金属","1"
"86","办公用纸","1"
"87","打印机","1"
"88","复印件","1"
"89","传真机","1"
"90","扫描仪","1"
"91","投影仪","1"
"92","电线","1"
"93","插座","1"
"94","排插","1"
"95","宣传单","1"
"96","书本","1"
"97","包装盒","1"
"98","PET塑料瓶","1"
"99","玻璃瓶","1"
"102","碎玻璃","1"
"104","烟头","2"
"105","烟蒂","2"
"106","报废车辆","1"
"107","毛发","2"
"108","胶带","2"
"109","胶水","2"
"110","干燥剂","2"
"111","打火机","4"
"112","眼镜","2"
"113","猫砂","2"
"114","榴莲壳","2"
"115","核桃壳","2"
"116","玉米衣","2"
"117","甘蔗皮","2"
"118","贝壳","2"
"119","大骨头","2"
"120","菠萝蜜核","2"
"121","一次性餐具","2"
"122","镜子","2"
"123","竹篮","2"
"124","竹筷","2"
"125","笔","2"
"126","伞","2"
"127","花盆","2"
"128","水果","3"
"129","西瓜","3"
"130","栗子","3"
"131","荔枝","3"
"132","梨","3"
"133","荔枝核","3"
"134","耳机","1"
"135","剩菜","3"
"136","剩饭","3"
"137","果皮","3"
"138","蛋壳","3"
"139","牙膏","2"
"140","牙刷","2"
"141","零食","3"
"142","泡沫","1"
"143","塑料袋","2"
"144","塑料瓶","1"
"145","快递盒","1"
"146","口香糖","2"
"147","垃圾桶","1"
"148","水桶","1"
"149","坚果","2"
"151","织物","1"
"153","鸡肉","3"
"154","书本杂志","1"
"155","传单","1"
"156","光盘","1"
"157","磁带","2"
"159","唱片","2"
"160","充电头","1"
"161","U盘","1"
"162","塑料挂钩","1"
"163","塑料衣架","1"
"164","泡沫填充物","1"
"165","塑料文件夹","1"
"166","文件盒","1"
"167","文件套","1"
"168","画板","1"
"169","画笔","2"
"171","塑料容器","1"
"173","塑料收纳箱","1"
"174","金属盆","1"
"175","金属饭盒","1"
"176","保温杯","1"
"177","保温壶","1"
"178","金属餐具炊具","1"
"179","杠铃","1"
"180","哑铃","1"
"181","金属衣架","1"
"182","手电筒","1"
"183","晾衣杆","1"
"184","毛巾架","1"
"185","毛巾","2"
"186","园艺工具","1"
"187","螺丝","1"
"188","螺帽","1"
"189","榔头","1"
"190","电钻","1"
"191","卷尺","1"
"192","锁","1"
"193","钥匙","1"
"194","铰链","1"
"196","滑板车","1"
"197","金属相框","1"
"198","金属挂钩","1"
"199","美工刀","1"
"200","玻璃杯","1"
"201","玻璃弹珠","2"
"202","围巾","1"
"203","围脖","1"
"204","羽绒衣","1"
"205","电热水器","1"
